gene_id	entrez_id	gene_name	gene_description	chr	mitocarta_evidence	impi_evidence	go_evidence	proteinatlas_evidence
ENSG00000109576	51166	AADAT	aminoadipate aminotransferase	4	true	Known mitochondrial	true	false
ENSG00000124608	57505	AARS2	alanyl-tRNA synthetase 2, mitochondrial	6	true	Known mitochondrial	true	true
ENSG00000008311	10157	AASS	aminoadipate-semialdehyde synthase	7	true	Known mitochondrial	true	true
ENSG00000183044	18	ABAT	4-aminobutyrate aminotransferase	16	true	Known mitochondrial	true	true
ENSG00000179869	154664	ABCA13	ATP binding cassette subfamily A member 13	7	true	Predicted mitochondrial	false	false
ENSG00000154258	10350	ABCA9	ATP binding cassette subfamily A member 9	17	true	Predicted mitochondrial	false	false
ENSG00000135776	23456	ABCB10	ATP binding cassette subfamily B member 10	1	true	Known mitochondrial	true	false
ENSG00000115657	10058	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	2	true	Known mitochondrial	true	true
ENSG00000131269	22	ABCB7	ATP binding cassette subfamily B member 7	X	true	Known mitochondrial	true	true
ENSG00000197150	11194	ABCB8	ATP binding cassette subfamily B member 8	7	true	Known mitochondrial	true	true
ENSG00000150967	23457	ABCB9	ATP binding cassette subfamily B member 9	12	true	Predicted NOT mitochondrial	false	false
ENSG00000101986	215	ABCD1	ATP binding cassette subfamily D member 1	X	true	Predicted mitochondrial	false	false
ENSG00000173208	225	ABCD2	ATP binding cassette subfamily D member 2	12	true	Predicted NOT mitochondrial	false	false
ENSG00000117528	5825	ABCD3	ATP binding cassette subfamily D member 3	1	true	Predicted mitochondrial	true	false
ENSG00000033050	10061	ABCF2	ATP binding cassette subfamily F member 2	7	true	Predicted mitochondrial	true	false
ENSG00000144827	55347	ABHD10	abhydrolase domain containing 10	3	true	Known mitochondrial	true	true
ENSG00000106077	83451	ABHD11	abhydrolase domain containing 11	7	true	Known mitochondrial	false	true
ENSG00000167774		AC010323.1		19	true	Dubious gene	false	false
ENSG00000198211		AC092143.1		16	true	Known mitochondrial	false	false
ENSG00000060971	30	ACAA1	acetyl-CoA acyltransferase 1	3	true	Predicted mitochondrial	false	false
ENSG00000167315	10449	ACAA2	acetyl-CoA acyltransferase 2	18	true	Known mitochondrial	true	true
ENSG00000278540		ACACA	acetyl-CoA carboxylase alpha	17	true	Known NOT mitochondrial	false	false
ENSG00000076555	32	ACACB	acetyl-CoA carboxylase beta	12	true	Known mitochondrial	true	false
ENSG00000111271	80724	ACAD10	acyl-CoA dehydrogenase family member 10	12	true	Known mitochondrial	true	false
ENSG00000240303	84129	ACAD11	acyl-CoA dehydrogenase family member 11	3	true	Known mitochondrial	true	false
ENSG00000151498	27034	ACAD8	acyl-CoA dehydrogenase family member 8	11	true	Known mitochondrial	true	false
ENSG00000177646	28976	ACAD9	acyl-CoA dehydrogenase family member 9	3	true	Known mitochondrial	true	true
ENSG00000115361	33	ACADL	acyl-CoA dehydrogenase long chain	2	true	Known mitochondrial	true	false
